"Time","Events"
0:00:00,DIGI Trigger
0:00:01.6740,Marker Button1
0:00:02.9320,Marker Button2
0:00:05.3620,Marker Button1
0:00:06.5160,Marker Button2
0:00:08.2060,Marker Button1
0:00:09.1200,Marker Button2
0:00:14.4520,Marker Button1
0:00:16.1560,Marker Button2
0:00:17.7040,Marker Button1
0:00:22.7680,Marker Button2
0:00:26.0080,Marker Button1
0:00:26.6540,Marker Button2
0:00:28.0340,Marker Button1
0:00:29.3520,Marker Button2
0:00:31.6080,Marker Button1
0:00:32.0960,Marker Button2
0:00:32.6840,Marker Button1
0:00:33.4500,Marker Button2
0:00:34.1680,Marker Button1
0:00:34.9780,Marker Button2
0:00:35.6140,Marker Button1
0:00:36.4980,Marker Button2
0:00:40.0140,Marker Button1
0:00:41.1740,Marker Button2
0:00:42.2880,Marker Button1
0:00:43.6700,Marker Button2
0:00:46.3780,Marker Button1
0:00:48.7800,Marker Button2
0:00:49.5180,Marker Button1
0:00:51.1840,Marker Button2
0:00:52.4000,Marker Button1
0:00:53.4680,Marker Button2
0:00:55.1800,Marker Button1
0:00:56.2400,Marker Button2
0:00:57.3080,DIGI Trigger
