"Time","Events"
0:00:00,DIGI Trigger
0:00:01.6400,Marker Button1
0:00:02.1500,Marker Button2
0:00:06.6000,Marker Button1
0:00:07.0000,Marker Button2
0:00:10.7800,Marker Button1
0:00:11.2280,Marker Button2
0:00:13.9000,Marker Button1
0:00:14.3660,Marker Button2
0:00:19.1000,Marker Button1
0:00:19.4680,Marker Button2
0:00:22.2600,Marker Button1
0:00:22.7460,Marker Button2
0:00:25.3700,Marker Button1
0:00:25.7400,Marker Button2
0:00:28.4000,Marker Button1
0:00:28.8200,Marker Button2
0:00:31.0000,Marker Button1
0:00:31.4000,Marker Button2
0:00:32.3140,Marker Button1
0:00:32.7360,Marker Button2
0:00:33.8660,Marker Button1
0:00:34.2860,Marker Button2
0:00:35.4000,Marker Button1
0:00:35.8200,Marker Button2
0:00:40.0240,Marker Button1
0:00:40.4140,Marker Button2
0:00:43.7560,Marker Button1
0:00:44.1480,Marker Button2
0:00:46.2280,Marker Button1
0:00:46.6600,Marker Button2
0:00:47.8940,Marker Button1
0:00:48.2880,Marker Button2
0:00:49.4900,DIGI Trigger
