"Time","Events"
0:00:00,DIGI Trigger
0:00:03.3020,Marker Button1
0:00:03.9760,Marker Button2
0:00:06.9600,Marker Button1
0:00:07.5260,Marker Button2
0:00:09.6980,Marker Button1
0:00:10.3000,Marker Button2
0:00:12.2520,Marker Button1
0:00:12.8780,Marker Button2
0:00:14.8540,Marker Button1
0:00:15.4560,Marker Button2
0:00:17.7400,Marker Button1
0:00:18.4280,Marker Button2
0:00:20.4540,Marker Button1
0:00:21.2500,Marker Button2
0:00:23.7680,Marker Button1
0:00:24.3940,Marker Button2
0:00:27.3160,Marker Button1
0:00:27.9800,Marker Button2
0:00:31.0480,Marker Button1
0:00:31.8960,Marker Button2
0:00:36.2920,Marker Button1
0:00:36.9660,Marker Button2
0:00:39.6300,Marker Button1
0:00:40.4660,Marker Button2
0:00:43.8300,Marker Button1
0:00:44.5540,Marker Button2
0:00:47.1820,Marker Button1
0:00:47.8680,Marker Button2
0:00:50.3860,Marker Button1
0:00:51.0860,Marker Button2
0:00:53.0260,Marker Button1
0:00:53.8480,Marker Button2
0:00:55.3280,DIGI Trigger


