"Time","Events"
0:00:00,DIGI Trigger
0:00:02.0500,Marker Button1
0:00:02.8600,Marker Button2
0:00:05.5980,Marker Button1
0:00:06.4080,Marker Button2
0:00:08.6800,Marker Button1
0:00:09.4640,Marker Button2
0:00:11.6020,Marker Button1
0:00:12.4860,Marker Button2
0:00:17.4820,Marker Button1
0:00:18.6360,Marker Button2
0:00:21.9260,Marker Button1
0:00:23.1060,Marker Button2
0:00:27.1200,Marker Button1
0:00:28.2500,Marker Button2
0:00:34.9520,Marker Button1
0:00:35.9220,Marker Button2
0:00:39.7280,Marker Button1
0:00:40.9320,Marker Button2
0:00:44.7140,Marker Button1
0:00:45.9040,Marker Button2
0:00:49.3660,Marker Button1
0:00:50.4600,Marker Button2
0:00:54.4500,Marker Button1
0:00:55.6280,Marker Button2
0:01:00.9200,Marker Button1
0:01:01.7440,Marker Button2
0:01:05.3280,DIGI Trigger

