"Time","Events"
0:00:00,DIGI Trigger
0:00:03.5640,Marker Button1
0:00:05.3420,Marker Button2
0:00:10.3060,Marker Button1
0:00:13.0040,Marker Button2
0:00:18.1700,Marker Button1
0:00:21.6080,Marker Button2
0:00:25.1840,Marker Button1
0:00:31.4220,Marker Button2
0:00:36.1240,Marker Button1
0:00:39.2940,Marker Button2
0:00:43.8840,Marker Button1
0:00:47.6320,Marker Button2
0:00:51.9720,Marker Button1
0:00:56.9300,Marker Button2
0:01:00.8760,Marker Button1
0:01:07.1280,Marker Button2
0:01:10.5320,Marker Button1
0:01:14.600,Marker Button2
0:01:21.2560,DIGI Trigger
