"Time","Events"
0:00:00,DIGI Trigger
0:00:02.3740,Marker Button1
0:00:04.3080,Marker Button1
0:00:06.2780,Marker Button1
0:00:07.9820,Marker Button1
0:00:09.9060,Marker Button1
0:00:11.7580,Marker Button1
0:00:13.6820,Marker Button1
0:00:20.7820,Marker Button1
0:00:23.8020,Marker Button1
0:00:26.4160,Marker Button1
0:00:28.6640,Marker Button1
0:00:31.1560,Marker Button1
0:00:32.9980,Marker Button2
0:00:34.2140,Marker Button2
0:00:35.5520,Marker Button2
0:00:36.6440,DIGI Trigger
