"Time","Events"
0:00:00,DIGI Trigger
0:00:01.4260,Marker Button1
0:00:02.7980,Marker Button2
0:00:05.6620,Marker Button1
0:00:06.7020,Marker Button2
0:00:09.1620,Marker Button1
0:00:10.4040,Marker Button2
0:00:12.4300,Marker Button1
0:00:13.3880,Marker Button2
0:00:15.2840,Marker Button1
0:00:16.4040,Marker Button2
0:00:21.2780,Marker Button1
0:00:22.4200,Marker Button2
0:00:25.6460,Marker Button1
0:00:26.8320,Marker Button2
0:00:29.8700,Marker Button1
0:00:30.9760,Marker Button2
0:00:32.2360,DIGI Trigger
