"Time","Events"
0:00:00,DIGI Trigger
0:00:01.5460,Marker Button1
0:00:04.3200,Marker Button2
0:00:08.9240,Marker Button1
0:00:13.0860,Marker Button2
0:00:19.0420,Marker Button1
0:00:23.1660,Marker Button2
0:00:26.7140,Marker Button1
0:00:30.6320,Marker Button2
0:00:33.4920,Marker Button1
0:00:37.4460,Marker Button2
0:00:43.8060,Marker Button1
0:00:49.0100,Marker Button2
0:00:52.4860,Marker Button1
0:00:56.6860,Marker Button2
0:01:00.3320,Marker Button1
0:01:05.3040,Marker Button2
0:01:08.9320,Marker Button1
0:01:12.7080,Marker Button2
0:01:16.2780,Marker Button1
0:01:19.6420,Marker Button2
0:01:23.0800,Marker Button1
0:01:27.1320,Marker Button2
0:01:30.6060,Marker Button1
0:01:34.5840,Marker Button2
0:01:37.4820,Marker Button1
0:01:41.3500,Marker Button2
0:01:45.4620,DIGI Trigger
