"Time","Events"
0:00:00,DIGI Trigger
0:00:02.5900,Marker Button1
0:00:05.4260,Marker Button3
0:00:07.4640,Marker Button2
0:00:10.6800,Marker Button3
0:00:15.9340,Marker Button1
0:00:18.5840,Marker Button3
0:00:20.4040,Marker Button2
0:00:22.6680,Marker Button3
0:00:24.6420,Marker Button1
0:00:26.6720,Marker Button3
0:00:28.2120,Marker Button2
0:00:31.9560,Marker Button3
0:00:33.6380,Marker Button1
0:00:36.1719,Marker Button3
0:00:37.1980,Marker Button2
0:00:40.8080,Marker Button3
0:00:44.5780,Marker Button1
0:00:50.0560,Marker Button3
0:00:55.2720,Marker Button2
0:01:04.7740,Marker Button3
0:01:08.1260,DIGI Trigger
