"Time","Events"
0:00:00,DIGI Trigger
0:00:03.1180,Marker Button1
0:00:04.2600,Marker Button2
0:00:07.7460,Marker Button1
0:00:08.9500,Marker Button2
0:00:11.8100,Marker Button1
0:00:12.9760,Marker Button2
0:00:15.9220,Marker Button1
0:00:16.9660,Marker Button2
0:00:19.2500,Marker Button1
0:00:20.1340,Marker Button2
0:00:22.4300,Marker Button1
0:00:23.4740,Marker Button2
0:00:27.8940,Marker Button1
0:00:29.5500,Marker Button2
0:00:31.8600,Marker Button1
0:00:33.2220,Marker Button2
0:00:35.1740,Marker Button1
0:00:36.7080,Marker Button2
0:00:38.7340,Marker Button1
0:00:41.4600,Marker Button2
0:00:42.7740,Marker Button1
0:00:44.8740,Marker Button2
0:00:46.1840,Marker Button1
0:00:47.8560,Marker Button2
0:00:50.0920,DIGI Trigger
